country;session;group;contribution;round;endowment;player;gender;age;lcp
SouthAfrica;1;4;8;1;10;1;Male;20;Contributor
SouthAfrica;1;3;9;1;10;2;Male;22;Contributor
SouthAfrica;1;2;5;1;10;3;Female;20;Others
SouthAfrica;1;2;10;1;10;4;Male;19;Conditional
SouthAfrica;1;4;10;1;10;5;Male;20;Contributor
SouthAfrica;1;3;10;1;10;6;Male;20;Contributor
SouthAfrica;1;2;20;1;30;7;Male;20;Conditional
SouthAfrica;1;1;10;1;10;8;Male;20;Contributor
SouthAfrica;1;1;8;1;10;9;Male;20;Contributor
SouthAfrica;1;3;16;1;30;10;Female;19;Conditional
SouthAfrica;1;3;10;1;30;11;Male;19;Contributor
SouthAfrica;1;1;16;1;30;12;Female;19;Conditional
SouthAfrica;1;4;18;1;30;13;Male;19;Conditional
SouthAfrica;1;4;30;1;30;14;Male;19;Contributor
SouthAfrica;1;2;17;1;30;15;Male;21;Conditional
SouthAfrica;1;1;10;1;30;16;Female;20;Contributor
SouthAfrica;1;4;7;2;10;1;Male;20;Contributor
SouthAfrica;1;3;10;2;10;2;Male;22;Contributor
SouthAfrica;1;2;8;2;10;3;Female;20;Others
SouthAfrica;1;2;10;2;10;4;Male;19;Conditional
SouthAfrica;1;4;9;2;10;5;Male;20;Contributor
SouthAfrica;1;3;10;2;10;6;Male;20;Contributor
SouthAfrica;1;2;15;2;30;7;Male;20;Conditional
SouthAfrica;1;1;10;2;10;8;Male;20;Contributor
SouthAfrica;1;1;6;2;10;9;Male;20;Contributor
SouthAfrica;1;3;16;2;30;10;Female;19;Conditional
SouthAfrica;1;3;10;2;30;11;Male;19;Contributor
SouthAfrica;1;1;14;2;30;12;Female;19;Conditional
SouthAfrica;1;4;18;2;30;13;Male;19;Conditional
SouthAfrica;1;4;25;2;30;14;Male;19;Contributor
SouthAfrica;1;2;15;2;30;15;Male;21;Conditional
SouthAfrica;1;1;30;2;30;16;Female;20;Contributor
SouthAfrica;1;4;10;3;10;1;Male;20;Contributor
